name,expected,got,delta,deltaAbs,pattern,subPattern
Shuu no hazama,14.7,15.00,-0.30,0.30,tech,stream tech
Paradigm Shift(e8v2) x1.15,14.7,14.60,0.10,0.10,speed,low stream
Ash Statues(rachel),14.6,14.60,0.00,0.00,stamina,dense jumpstream
CRIMSON FIGHTER x1.15,14.6,14.60,0.00,0.00,stamina,dense handstream
Amatsukami x1.15,14.6,14.60,0.00,0.00,speed,high stream
Lalala.Refrain(sp7v2) x1.1,14.6,15.00,-0.40,0.40,speed,mid stream
Tactical Railroad(ATTang),14.6,13.60,1.00,1.00,speed,high stream
Hayabusa(e8v3),14.6,14.40,0.20,0.20,jack,high chordjack
Search And Destroy(Ena) x1.25,14.6,14.60,0.00,0.00,stamina,dense handstream
Death Melody(e8v2) x1.25,14.5,Missing,,,stamina,dense handstream
Stay Alive (Zekk Remix) x1.25,14.5,14.60,-0.10,0.10,speed,mid stream
Paraclete -Miracle,14.5,14.60,-0.10,0.10,speed,low stream
Alpha,14.4,14.40,0.00,0.00,tech,stream tech
Ankoku Butoukai,14.4,14.00,0.40,0.40,tech,mix tech
Kaguyahime(mintapril) x1.2,14.4,14.00,0.40,0.40,tech,mix tech
Heaven's Fall(e7v3) x1.4,14.4,14.40,0.00,0.00,stamina,dense handstream
Ash Statues(wafles)[Passable],14.4,14.00,0.40,0.40,stamina,light jumpstream
STRONG 280(11bit),14.4,14.00,0.40,0.40,stamina,dense handstream
Pine Nut,14.4,13.60,0.80,0.80,speed,high stream
LiFE Garden(e7v3) x1.05,14.4,14.00,0.40,0.40,jack,high chordjack
Crescent Moon Boss Battle x1.05,14,14.00,0.00,0.00,tech,stream tech
FUTURE DOMINATORS(delta) x1.3,14,14.00,0.00,0.00,stamina,dense handstream
Quadraphinix x1.5,14,14.00,0.00,0.00,stamina,dense handstream
Volcanic(delta),14,13.60,0.40,0.40,speed,high stream
STRONG 280(isxi),14,13.60,0.40,0.40,jack,dense chordjack
Aquaris(snover) x1.3,14,13.60,0.40,0.40,jack,low chordjack
Ascension to heaven(sp6v2) x0.975,13.8,14.00,-0.20,0.20,speed,Unsigned
Nhelv(Guilhermeziat),13.6,13.40,0.20,0.20,tech,jack tech
Shadows of Cats(tachyon) x1.2,13.6,13.60,0.00,0.00,tech,stream tech
The Empress(delta),13.6,13.40,0.20,0.20,stamina,dense handstream
Nopea,13.6,13.40,0.20,0.20,speed,mid stream
Pastel Subliminal,13.5,13.40,0.10,0.10,speed,Unsigned
Extraction,13.4,13.40,0.00,0.00,tech,Unsigned
Tornado [Devastation](interliser),13.4,12.00,1.40,1.40,tech,mix tech
Cyber Inductance(tachyon) x1.4,13.4,13.00,0.40,0.40,stamina,dense jumpstream
Electric Angel(e5v3) x1.2,13.4,Missing,,,speed,high stream
Angel Dust(tachyon),13.4,12.60,0.80,0.80,speed,high stream
Defeat awaken battle ship,13.4,12.60,0.80,0.80,jack,high chordjack
WE LUV LAMA(gamma) x1.2,13,13.00,0.00,0.00,stamina,dense jumpstream
Reflec Streamz(gamma),13,13.40,-0.40,0.40,speed,low stream
Break(loved) x1.1,13,13.40,-0.40,0.40,jack,high chordjack
Sendan Life(OpakyL),13,12.40,0.60,0.60,jack,dense chordjack
Unsan-musho,12.8,13.00,-0.20,0.20,tech,stream tech
Sonesaki Shinju(sp5v2) x0.925,12.7,12.60,0.10,0.10,speed,Unsigned
Fastest Crash (gamma),12.6,12.60,0.00,0.00,tech,stream tech
Shinbatsu o Tadori Kyoukotsu ni Itaru(evening),12.6,12.60,0.00,0.00,stamina,dense jumpstream
The Truth Never Spoken,12.6,12.40,0.20,0.20,jack,mid chordjack
Bring Our Ignition Back x1.1,12.6,12.00,0.60,0.60,jack,mid chordjack
Japanese Transformation(fullerene),12.5,12.00,0.50,0.50,stamina,dense jumpstream
Crystal World -Fracture-,12.5,12.60,-0.10,0.10,speed,Unsigned
IMAGE -MATERIAL- Version 0(luminal),12.4,12.00,0.40,0.40,stamina,light handstream
Lolit Speed,12.4,11.00,1.40,1.40,stamina,dense jumpstream
Pure Ruby,12.4,12.00,0.40,0.40,speed,Unsigned
Odin(fullerene),12.4,11.60,0.80,0.80,speed,high stream
Mario Point[D-Hyper],12.4,11.00,1.40,1.40,speed,low stream
ZENITHALIZE,12.4,12.40,0.00,0.00,jack,high chordjack
IMAGE -MATERIAL- Version 0(fullerene),12.3,12.00,0.30,0.30,stamina,light handstream
YELL!(e4v2),12.2,11.60,0.60,0.60,speed,Unsigned
Asymmetrical Grooves,12,12.00,0.00,0.00,tech,Unsigned
Blue Planet,12,12.40,-0.40,0.40,tech,stream tech
Time to Say Goodbye(beta),12,12.00,0.00,0.00,stamina,dense jumpstream
Amber Starlight(beta),12,11.40,0.60,0.60,speed,low stream
Paradigm Shift(beta),12,12.00,0.00,0.00,jack,high chordjack
Edison(e3v3) x1.15,12,11.60,0.40,0.40,jack,mid chordjack
Akasha(sp3v2) x0.88,11.7,10.60,1.10,1.10,speed,Unsigned
End Time(e3v2) x1.1,11.5,11.00,0.50,0.50,speed,Unsigned
INTERNET OVERDOSE x1.05,11.4,12.00,-0.60,0.60,tech,stream tech
Enthanasia x1.05,11.2,11.40,-0.20,0.20,speed,Unsigned
LazorBeamz,11,11.00,0.00,0.00,stamina,light jumpstream
Makiba(alpha),11,11.00,0.00,0.00,speed,low stream
Dark Sambaland,11,11.00,0.00,0.00,jack,high chordjack
Odoru Mizushibuki x1.1,10.8,11.00,-0.20,0.20,tech,jack tech
Towards the Horizon,10.8,11.00,-0.20,0.20,tech,Unsigned
P8107 x0.95,10.8,11.60,-0.80,0.80,speed,low stream
Message(e2v2),10.7,10.60,0.10,0.10,speed,low stream
Moment x1.05,10.6,10.60,0.00,0.00,jack,high chordjack
Shin Takarajim(sp2v2),10.5,10.60,-0.10,0.10,speed,Unsigned
Torikago,10.4,10.60,-0.20,0.20,speed,mid stream
The Lost Dedicated(loved),10.4,11.00,-0.60,0.60,jack,high chordjack
Eiya no Parade x1.05,10.3,9.40,0.90,0.90,speed,low stream
Dope Monkeys x1.02,10.1,9.00,1.10,1.10,speed,low stream
Tailin no Soul x1.2,10,9.00,1.00,1.00,tech,stream tech
Rave 7 [Hard] x1.1,10,11.00,-1.00,1.00,tech,stream tech
Chandelier(10),10,11.00,-1.00,1.00,stamina,dense jumpstream
Oh Curry! x0.9,10,8.00,2.00,2.00,speed,staircase
The Lost Dedicated(10),10,11.00,-1.00,1.00,jack,high chordjack
Cicadidae,9,9.20,-0.20,0.20,tech,stream tech
Firmament Castle Velier(9) x1.05,9,9.20,-0.20,0.20,stamina,dense jumpstream
Disconnected Trance(9),9,7.20,1.80,1.80,speed,low stream
Scorpion Dance,9,9.00,0.00,0.00,jack,high chordjack
Can't Take my Eyes,9,7.60,1.40,1.40,jack,low chordjack
RATO,8,7.40,0.60,0.60,tech,stream tech
Anguish(8),8,8.60,-0.60,0.60,stamina,dense jumpstream
Trickstarz,8,7.40,0.60,0.60,speed,staircase
To The Limit(8),8,7.40,0.60,0.60,jack,high chordjack
WAVE,7,6.60,0.40,0.40,tech,mix tech
Hymn,7,7.00,0.00,0.00,stamina,light jumpstream
Last Chance,7,5.20,1.80,1.80,jack,Unsigned
Five Five Five Guys,6.6,6.00,0.60,0.60,speed,low stream
M-A[Expert Lv.15],6.2,7.00,-0.80,0.80,stamina,dense jumpstream
The Bird's Midair Heatstroke,6,4.00,2.00,2.00,tech,Unsigned
Luv Lab 22ate!,6,6.20,-0.20,0.20,speed,mid stream
SOS,6,5.20,0.80,0.80,speed,mid stream
Sweet Cherry X,6,4.60,1.40,1.40,jack,Unsigned
Back to the Gate[Lv.5100],6,6.00,0.00,0.00,stamina,dense jumpstream
Brainfog,5,4.20,0.80,0.80,tech,Unsigned
Elektric U-Phoria,5,5.60,-0.60,0.60,stamina,dense jumpstream
Palette GAMMA[Abstract],5,5.00,0.00,0.00,speed,low stream
TDPDG,5,4.80,0.20,0.20,speed,low stream
Energy Flower 3007,5,3.20,1.80,1.80,jack,Unsigned
Angel Of Darkness,4.2,4.40,-0.20,0.20,stamina,light jumpstream
Ephemera,4,3.80,0.20,0.20,tech,Unsigned
Shannon's Theorem,4,3.40,0.60,0.60,tech,stream tech
CrossOver,4,1.20,2.80,2.80,jack,Unsigned
Kirlian Shores,3,0.20,2.80,2.80,tech,Unsigned
True Blue,3,3.00,0.00,0.00,stamina,Unsigned
Entelechia,3,3.00,0.00,0.00,speed,mid stream
Dimension Trippere!!!!,3,0.80,2.20,2.20,jack,Unsigned
Vermillion,2,0.80,1.20,1.20,tech,Unsigned
Eternal Drain,2,1.80,0.20,0.20,stamina,Unsigned
Snow Storm,2,1.60,0.40,0.40,speed,Unsigned
Flashes,2,2.80,-0.80,0.80,jack,Unsigned
Want U 2,1,0.40,0.60,0.60,tech,Unsigned
Tommorow Perfume,1,1.40,-0.40,0.40,stamina,Unsigned
Shelter,1,0.80,0.20,0.20,speed,Unsigned
Miracle Chance,1,-1.00,2.00,2.00,jack,Unsigned
